index,cep,logradouro,complemento,bairro,localidade,uf,ibge,gia,ddd,siafi
60821410,60821-410,Rua Cleiton Helaide Pimenta,,Jardim das Oliveiras,Fortaleza,CE,2304400,,85,1389
60875275,60875-275,Rua 13 Cj Alto Alegre,,São Bento,Fortaleza,CE,2304400,,85,1389
60347680,60347-680,Rua 27,(Cj Polar),Vila Velha,Fortaleza,CE,2304400,,85,1389
60320330,60320-330,Rua Carmem Cenira,,São Gerardo,Fortaleza,CE,2304400,,85,1389
60861445,60861-445,Avenida Passaré,,Parque Dois Irmãos,Fortaleza,CE,2304400,,85,1389
60125101,60125-101,Rua Tibúrcio Cavalcanti,de 2086/2087 a 3198/3199,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
60115170,60115-170,Rua Carlos Vasconcelos,até 849/850,Meireles,Fortaleza,CE,2304400,,85,1389
60875640,60875-640,Rua Birmânia,,São Bento,Fortaleza,CE,2304400,,85,1389
60336060,60336-060,Rua São Roque,,Álvaro Weyne,Fortaleza,CE,2304400,,85,1389
60748570,60748-570,Rua 02 A do Cidade Jardim Fortaleza Gleba A,,Prefeito José Walter,Fortaleza,CE,2304400,,85,1389
60135040,60135-040,Rua Padre Valdevino,até 1700 - lado par,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60844025,60844-025,Rua Capitão Justino Ferreira Ramos,até 949/950,Curió,Fortaleza,CE,2304400,,85,1389
60182332,60182-332,Rua Doutor Manoel Rodrigues Monteiro,de 1701/1702 a 2454/2455,Praia do Futuro I,Fortaleza,CE,2304400,,85,1389
60873010,60873-010,Rua Maria Quintino,,Parque Santa Maria,Fortaleza,CE,2304400,,85,1389
60130000,60130-000,Rua Coronel Alves Teixeira,até 1198/1199,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60330605,60330-605,Rua Antonieta Clotilde,,Jardim Iracema,Fortaleza,CE,2304400,,85,1389
60175005,60175-005,Rua Joaquim Lima,até 99997/99998,Papicu,Fortaleza,CE,2304400,,85,1389
60326500,60326-500,Avenida Sargento Hermínio Sampaio,de 902 a 2148 - lado par,Monte Castelo,Fortaleza,CE,2304400,,85,1389
60762080,60762-080,Rua Mirtil Meyer,,Mondubim,Fortaleza,CE,2304400,,85,1389
60762805,60762-805,Rua Iná Brito,de 200/201 a 1028/1029,Parque Santa Rosa,Fortaleza,CE,2304400,,85,1389
60160140,60160-140,Rua República do Líbano,até 1199/1200,Meireles,Fortaleza,CE,2304400,,85,1389
60833241,60833-241,Rua Doutor Waldemar de Alcântara,de 251/252 ao fim,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60060390,60060-390,Rua Dragão do Mar,de 196/197 ao fim,Praia de Iracema,Fortaleza,CE,2304400,,85,1389
60441005,60441-005,Rua Goiás,de 620/621 a 1143/1144,Panamericano,Fortaleza,CE,2304400,,85,1389
60841545,60841-545,Rua Almeida Rego,,Messejana,Fortaleza,CE,2304400,,85,1389
60810350,60810-350,Avenida Washington Soares,de 1262 a 3630 - lado par,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60830285,60830-285,Rua Doutor Esmerino Parente,de 486/487 ao fim,José de Alencar,Fortaleza,CE,2304400,,85,1389
60532550,60532-550,Rua 918,,Conjunto Ceará II,Fortaleza,CE,2304400,,85,1389
60450135,60450-135,Rua Amadeu Furtado,até 634/635,Parquelândia,Fortaleza,CE,2304400,,85,1389
60160250,60160-250,Rua Pereira Valente,até 1344/1345,Meireles,Fortaleza,CE,2304400,,85,1389
60192250,60192-250,Rua José de Borba Vasconcelos,de 331/332 ao fim,Cocó,Fortaleza,CE,2304400,,85,1389
60711465,60711-465,Rua Coronel Manuel Albano,,Mondubim,Fortaleza,CE,2304400,,85,1389
60140060,60140-060,Avenida Heraclito Graça,até 916 - lado par,Centro,Fortaleza,CE,2304400,,85,1389
60811120,60811-120,Rua Doutor Francisco Gadelha,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60833020,60833-020,Avenida Edilson Brasil Soares,de 702 ao fim - lado par,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60822570,60822-570,Rua José Alves Cavalcante,,Cidade dos Funcionários,Fortaleza,CE,2304400,,85,1389
60420750,60420-750,Rua Tenente Moacir Matos,,Montese,Fortaleza,CE,2304400,,85,1389
60110140,60110-140,Rua Nogueira Acioli,até 1678/1679,Centro,Fortaleza,CE,2304400,,85,1389
60824200,60824-200,Rua Leão Veloso,,Parque Iracema,Fortaleza,CE,2304400,,85,1389
60135420,60135-420,Rua Henriqueta Galeno,até 799/800,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
60020100,60020-100,Rua João Gentil,,Benfica,Fortaleza,CE,2304400,,85,1389
60135620,60135-620,Rua Livreiro Edésio,,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
60115171,60115-171,Rua Carlos Vasconcelos,de 851/852 a 2099/2100,Aldeota,Fortaleza,CE,2304400,,85,1389
60833185,60833-185,Rua Bill Cartaxo,até 1499/1500,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60110535,60110-535,Rua João Cordeiro,de 2101/2102 ao fim,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60183726,60183-726,Avenida Pintor Antônio Bandeira,de 3296/3297 a 3539/3540,Praia do Futuro I,Fortaleza,CE,2304400,,85,1389
60875645,60875-645,Rua A,(Lot Cidade Verde),São Bento,Fortaleza,CE,2304400,,85,1389
60110120,60110-120,Rua J. da Penha,até 799/800,Centro,Fortaleza,CE,2304400,,85,1389
60532160,60532-160,Rua 812,,Conjunto Ceará I,Fortaleza,CE,2304400,,85,1389
60822366,60822-366,Rua Tomás Ildefonso,,Cambeba,Fortaleza,CE,2304400,,85,1389
60867520,60867-520,Rua Z,(Cj Barroso II),Passaré,Fortaleza,CE,2304400,,85,1389
60182410,60182-410,Rua Paulo Mendes,,Praia do Futuro I,Fortaleza,CE,2304400,,85,1389
60834095,60834-095,Rua Francisco Neiva,,Edson Queiroz,Fortaleza,CE,2304400,,85,1389
60833355,60833-355,Rua Afonso Pena,de 301/302 ao fim,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60810160,60810-160,Avenida Coronel Miguel Dias,,Guararapes,Fortaleza,CE,2304400,,85,1389
60337270,60337-270,Rua Engenheiro Lima Verde,,Álvaro Weyne,Fortaleza,CE,2304400,,85,1389
60175020,60175-020,Rua Fonseca Lobo,,Aldeota,Fortaleza,CE,2304400,,85,1389
60320180,60320-180,Rua Soares Bulcão,de 501/502 ao fim,São Gerardo,Fortaleza,CE,2304400,,85,1389
60831225,60831-225,Rua B,(Lot Laguna Park),Lagoa Redonda,Fortaleza,CE,2304400,,85,1389
60150161,60150-161,Avenida Santos Dumont,de 980/981 a 2398/2399,Aldeota,Fortaleza,CE,2304400,,85,1389
60830592,60830-592,Rua Roberto Gradvohl,,José de Alencar,Fortaleza,CE,2304400,,85,1389
60192085,60192-085,Rua Andrade Furtado,de 1941/1942 a 2490/2491,Cocó,Fortaleza,CE,2304400,,85,1389
60135460,60135-460,Rua Israel Bezerra,até 798/799,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
60175000,60175-000,Rua Monsenhor Catão,até 1689/1690,Aldeota,Fortaleza,CE,2304400,,85,1389
60732270,60732-270,Rua Monteiro Lobato,,Siqueira,Fortaleza,CE,2304400,,85,1389
60182260,60182-260,Rua Hermínia Bonavides,,Vicente Pinzon,Fortaleza,CE,2304400,,85,1389
60170151,60170-151,Rua Vicente Leite,de 881/882 a 1989/1990,Aldeota,Fortaleza,CE,2304400,,85,1389
60170210,60170-210,Rua José Napoleão,,Meireles,Fortaleza,CE,2304400,,85,1389
60810820,60810-820,Rua Ministro Petrônio Portela,,Salinas,Fortaleza,CE,2304400,,85,1389
60165050,60165-050,Avenida Historiador Raimundo Girão,de 431/432 ao fim,Meireles,Fortaleza,CE,2304400,,85,1389
60864545,60864-545,Rua Seringueira,,Cajazeiras,Fortaleza,CE,2304400,,85,1389
60822676,60822-676,Avenida José Leon,de 2 a 2198 - lado par,Cidade dos Funcionários,Fortaleza,CE,2304400,,85,1389
60015060,60015-060,Rua Princesa Isabel,até 1368/1369,Centro,Fortaleza,CE,2304400,,85,1389
60862040,60862-040,Rua Professor Moreira de Souza,,Passaré,Fortaleza,CE,2304400,,85,1389
60744030,60744-030,Rua dos Mandacarus,,Passaré,Fortaleza,CE,2304400,,85,1389
60170280,60170-280,Rua Antônio de Pádua Neves Júnior,,Aldeota,Fortaleza,CE,2304400,,85,1389
60165100,60165-100,Rua Barbalha,,Meireles,Fortaleza,CE,2304400,,85,1389
60822462,60822-462,Rua Doutor José Furtado,lado par,Cidade dos Funcionários,Fortaleza,CE,2304400,,85,1389
60824075,60824-075,Rua Joãozito Arruda,,Parque Iracema,Fortaleza,CE,2304400,,85,1389
60840045,60840-045,Rua Doutor Pergentino Maia,até 1569/1570,Messejana,Fortaleza,CE,2304400,,85,1389
60720015,60720-015,Avenida General Osório de Paiva,até 1659 - lado ímpar,Parangaba,Fortaleza,CE,2304400,,85,1389
60135270,60135-270,Rua Vicente Linhares,até 1478/1479,Aldeota,Fortaleza,CE,2304400,,85,1389
60861770,60861-770,Rua Amâncio Pereira,,Passaré,Fortaleza,CE,2304400,,85,1389
60742110,60742-110,Rua Freire Alemão,,Serrinha,Fortaleza,CE,2304400,,85,1389
60821730,60821-730,Rua João Alves Albuquerque,,Parque Manibura,Fortaleza,CE,2304400,,85,1389
60040470,60040-470,Rua Coronel Pergentino Ferreira,,Fátima,Fortaleza,CE,2304400,,85,1389
60831600,60831-600,Avenida Recreio,,Lagoa Redonda,Fortaleza,CE,2304400,,85,1389
60191005,60191-005,Rua Professora Francisca Almeida de Sousa,,Manuel Dias Branco,Fortaleza,CE,2304400,,85,1389
60861140,60861-140,Rua Francisco Vilela,,Boa Vista-Castelão,Fortaleza,CE,2304400,,85,1389
60811295,60811-295,Rua Maria Alice Ferraz,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60420314,60420-314,Rua Teodorico Barroso,de 432/433 ao fim,Montese,Fortaleza,CE,2304400,,85,1389
60110528,60110-528,Rua Gonçalves Ledo,de 1701/1702 ao fim,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60160070,60160-070,Rua Antonele Bezerra,,Meireles,Fortaleza,CE,2304400,,85,1389
60130050,60130-050,Rua Joaquim Sá,até 149/150,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60810210,60810-210,Rua Doutor José Teles,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60180410,60180-410,Avenida Vicente de Castro,,Cais do Porto,Fortaleza,CE,2304400,,85,1389
60425685,60425-685,Avenida João Pessoa,de 5201 a 6499 - lado ímpar,Montese,Fortaleza,CE,2304400,,85,1389
60841820,60841-820,Rua Coronel João de Oliveira,,Messejana,Fortaleza,CE,2304400,,85,1389
60833375,60833-375,Rua Francisco Martiniano Barbosa,,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60833096,60833-096,Rua José Vilar de Andrade,,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60871100,60871-100,Rua Chico França,,Messejana,Fortaleza,CE,2304400,,85,1389
60830265,60830-265,Rua Fulgêncio Cruz,de 216/217 ao fim,José de Alencar,Fortaleza,CE,2304400,,85,1389
60055320,60055-320,Rua Doutor Pedro Teles,,Fátima,Fortaleza,CE,2304400,,85,1389
60411136,60411-136,Avenida dos Expedicionários,até 3658 - lado par,Benfica,Fortaleza,CE,2304400,,85,1389
60192055,60192-055,Rua Bento Albuquerque,de 891/892 a 1899/1900,Cocó,Fortaleza,CE,2304400,,85,1389
60714708,60714-708,Rua F,(Lot dos Expedicionários II),Dendê,Fortaleza,CE,2304400,,85,1389
60863255,60863-255,Rua Mucambinho,,Barroso,Fortaleza,CE,2304400,,85,1389
60348540,60348-540,Avenida L,(Cj Planalto da Barra),Vila Velha,Fortaleza,CE,2304400,,85,1389
60834255,60834-255,Rua Dom Delgado,,Edson Queiroz,Fortaleza,CE,2304400,,85,1389
60325610,60325-610,Rua Antonina do Norte,,São Gerardo,Fortaleza,CE,2304400,,85,1389
60192340,60192-340,Rua Doutor Batista de Oliveira,de 731/732 ao fim,Cocó,Fortaleza,CE,2304400,,85,1389
60830135,60830-135,Rua Neudélia Monte,,José de Alencar,Fortaleza,CE,2304400,,85,1389
60813690,60813-690,Rua Coronel Francisco Flávio Carneiro,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60823005,60823-005,Avenida Desembargador Gonzaga,lado ímpar,Cidade dos Funcionários,Fortaleza,CE,2304400,,85,1389
60822785,60822-785,Rua Chico Lemos,até 1389/1390,Cidade dos Funcionários,Fortaleza,CE,2304400,,85,1389
60834185,60834-185,Rua Marcelo Reis,,Edson Queiroz,Fortaleza,CE,2304400,,85,1389
60040360,60040-360,Rua Padre Roma,,Fátima,Fortaleza,CE,2304400,,85,1389
60175210,60175-210,Rua Oito de Setembro,,Varjota,Fortaleza,CE,2304400,,85,1389
60824130,60824-130,Rua Fausto Aguiar,até 579/580,Parque Iracema,Fortaleza,CE,2304400,,85,1389
60810331,60810-331,Rua Augusto Jaime Benevides,,Guararapes,Fortaleza,CE,2304400,,85,1389
60120055,60120-055,Rua Silva Paulet,de 3201/3202 ao fim,Tauape,Fortaleza,CE,2304400,,85,1389
60192025,60192-025,Rua Vilebaldo Aguiar,de 741/742 a 2029/2030,Cocó,Fortaleza,CE,2304400,,85,1389
60125100,60125-100,Rua Tibúrcio Cavalcanti,até 819/820,Meireles,Fortaleza,CE,2304400,,85,1389
60060440,60060-440,Avenida Almirante Barroso,,Praia de Iracema,Fortaleza,CE,2304400,,85,1389
60120024,60120-024,Avenida Barão de Studart,de 762 a 2062 - lado par,Aldeota,Fortaleza,CE,2304400,,85,1389
60175375,60175-375,Rua Alfeu Aboim,,Papicu,Fortaleza,CE,2304400,,85,1389
60010450,60010-450,Avenida Francisco Sá,até 2399/2400,Jacarecanga,Fortaleza,CE,2304400,,85,1389
60160330,60160-330,Rua Paulo Morais,,Varjota,Fortaleza,CE,2304400,,85,1389
60750550,60750-550,Rua 41,(Cj Prefeito José Walter),Prefeito José Walter,Fortaleza,CE,2304400,,85,1389
60533632,60533-632,Avenida E,lado par,Conjunto Ceará I,Fortaleza,CE,2304400,,85,1389
60182360,60182-360,Rua Francisco Teixeira de Alcântara,,Praia do Futuro I,Fortaleza,CE,2304400,,85,1389
60177410,60177-410,Rua Professora Francisca Almeida de Sousa,,De Lourdes,Fortaleza,CE,2304400,,85,1389
60192050,60192-050,Rua Bento Albuquerque,de 1901/1902 a 2499/2500,Cocó,Fortaleza,CE,2304400,,85,1389
60115000,60115-000,Rua Ildefonso Albano,até 889/890,Meireles,Fortaleza,CE,2304400,,85,1389
60743790,60743-790,Rua das Oiticicas,,Passaré,Fortaleza,CE,2304400,,85,1389
60325440,60325-440,Rua Conrado Cabral,até 409/410,Monte Castelo,Fortaleza,CE,2304400,,85,1389
60763510,60763-510,Rua 102,,Conjunto Esperança,Fortaleza,CE,2304400,,85,1389
60455001,60455-001,Rua Gustavo Sampaio,de 451/452 ao fim,Parquelândia,Fortaleza,CE,2304400,,85,1389
60811110,60811-110,Rua Luiza Miranda Coelho,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60811570,60811-570,Rua Doutor Hermes Lima,,Edson Queiroz,Fortaleza,CE,2304400,,85,1389
60020300,60020-300,Rua Costa Sousa,,Benfica,Fortaleza,CE,2304400,,85,1389
60182380,60182-380,Rua Doutor Zelito Pamplona,,Praia do Futuro II,Fortaleza,CE,2304400,,85,1389
60040490,60040-490,Rua Guilherme Moreira,,Fátima,Fortaleza,CE,2304400,,85,1389
60811590,60811-590,Rua Professor Wilson Aguiar,,Edson Queiroz,Fortaleza,CE,2304400,,85,1389
60830295,60830-295,Rua Clodoaldo Arruda,de 471/472 ao fim,José de Alencar,Fortaleza,CE,2304400,,85,1389
60310790,60310-790,Rua Felipe Camarão,até 699/700,Pirambu,Fortaleza,CE,2304400,,85,1389
60115044,60115-044,Rua Carlos Vasconcelos,de 2101/2102 ao fim,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60356585,60356-585,Rua Joaquim Albano,de 991/992 ao fim,Antônio Bezerra,Fortaleza,CE,2304400,,85,1389
60411280,60411-280,Rua Martinho Rodrigues,,Fátima,Fortaleza,CE,2304400,,85,1389
60455620,60455-620,Rua Cônego Penafort,,Amadeu Furtado,Fortaleza,CE,2304400,,85,1389
60165230,60165-230,Avenida Álvaro Correia,,Mucuripe,Fortaleza,CE,2304400,,85,1389
60310226,60310-226,Rua Monsenhor Dantas,de 2400/2401 ao fim,Jacarecanga,Fortaleza,CE,2304400,,85,1389
60834105,60834-105,Rua Coronel Francisco Alves,,Edson Queiroz,Fortaleza,CE,2304400,,85,1389
60824010,60824-010,Rua Deputado Sebastião Brasilino de Freitas,,Parque Iracema,Fortaleza,CE,2304400,,85,1389
60455472,60455-472,Rua Abílio Martins,até 1488/1489,Amadeu Furtado,Fortaleza,CE,2304400,,85,1389
60060000,60060-000,Rua Rodrigues Júnior,até 1091/1092,Centro,Fortaleza,CE,2304400,,85,1389
60822310,60822-310,Rua Francisco Borges Soares,,Cambeba,Fortaleza,CE,2304400,,85,1389
60125055,60125-055,Rua Joaquim Nabuco,de 791/792 a 1979/1980,Aldeota,Fortaleza,CE,2304400,,85,1389
60351780,60351-780,Rua VIII,(Cj Omega II),Quintino Cunha,Fortaleza,CE,2304400,,85,1389
60871210,60871-210,Rua Aveledo,,Messejana,Fortaleza,CE,2304400,,85,1389
60835745,60835-745,Rua Sorocaba,,Sabiaguaba,Fortaleza,CE,2304400,,85,1389
60135416,60135-416,Rua Beni Carvalho,até 900 - lado par,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
60192320,60192-320,Rua Arquiteto Reginaldo Rangel,,Cocó,Fortaleza,CE,2304400,,85,1389
60872510,60872-510,Rua Tropical,,Paupina,Fortaleza,CE,2304400,,85,1389
60410356,60410-356,Rua João Araripe,até 429/430,Parreão,Fortaleza,CE,2304400,,85,1389
60055172,60055-172,Avenida Visconde do Rio Branco,de 2799 a 3699 - lado ímpar,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60320270,60320-270,Rua Pompeu Cavalcante,,Ellery,Fortaleza,CE,2304400,,85,1389
60714110,60714-110,Rua Síria,,Itaperi,Fortaleza,CE,2304400,,85,1389
60831370,60831-370,Avenida Professor José Arthur de Carvalho,,Lagoa Redonda,Fortaleza,CE,2304400,,85,1389
60821765,60821-765,Rua Engenheiro Antônio Ferreira Antero,,Parque Manibura,Fortaleza,CE,2304400,,85,1389
60761245,60761-245,Rua C,(Lot Parque Montenegro I),Parque Dois Irmãos,Fortaleza,CE,2304400,,85,1389
60714222,60714-222,Vila Três Américas,,Itaperi,Fortaleza,CE,2304400,,85,1389
60415000,60415-000,Rua Mário Mamede,,Fátima,Fortaleza,CE,2304400,,85,1389
60830105,60830-105,Rua Rafael Tobias,de 2001/2002 ao fim,José de Alencar,Fortaleza,CE,2304400,,85,1389
60175442,60175-442,Avenida Almirante Henrique Sabóia,lado par,Mucuripe,Fortaleza,CE,2304400,,85,1389
60865650,60865-650,Rua da Saudade,,Passaré,Fortaleza,CE,2304400,,85,1389
60450080,60450-080,Rua Moreira de Sousa,,Parquelândia,Fortaleza,CE,2304400,,85,1389
60841670,60841-670,Rua Jonh Lennon,,Messejana,Fortaleza,CE,2304400,,85,1389
60813670,60813-670,Avenida Comodoro Estácio Brígido,(Lot Sítio Tunga/Alpha Village),Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60712025,60712-025,Rua Rúbens Monte,,Jardim Cearense,Fortaleza,CE,2304400,,85,1389
60510107,60510-107,Rua Professor Manoel Lourenço,,Jóquei Clube,Fortaleza,CE,2304400,,85,1389
60711230,60711-230,Rua Gama,,Maraponga,Fortaleza,CE,2304400,,85,1389
60410329,60410-329,Rua São Mateus,até 979/980,Parreão,Fortaleza,CE,2304400,,85,1389
60833232,60833-232,Rua Eduardo Novaes,,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60730182,60730-182,Rua Monsenhor Agostinho,até 1119/1120,Vila Peri,Fortaleza,CE,2304400,,85,1389
60861212,60861-212,Avenida Alberto Craveiro,de 1002 ao fim - lado par,Boa Vista-Castelão,Fortaleza,CE,2304400,,85,1389
60060295,60060-295,Rua Historiador Guarino Alves,,Praia de Iracema,Fortaleza,CE,2304400,,85,1389
60192170,60192-170,Rua Professor Francisco Gonçalves,de 1190/1191 ao fim,Cocó,Fortaleza,CE,2304400,,85,1389
60842050,60842-050,Rua Eduardo Porto,,Messejana,Fortaleza,CE,2304400,,85,1389
60455390,60455-390,Rua Francisca Rangel,,Parquelândia,Fortaleza,CE,2304400,,85,1389
60455610,60455-610,Rua Nestor Barbosa,,Amadeu Furtado,Fortaleza,CE,2304400,,85,1389
60410220,60410-220,Rua Joaquim Pimenta,,Montese,Fortaleza,CE,2304400,,85,1389
60764250,60764-250,Rua 102,(Cj Novo Mondubim),Novo Mondubim,Fortaleza,CE,2304400,,85,1389
60176106,60176-106,Rua Artista Plástico Joaquim de Souza,,Papicu,Fortaleza,CE,2304400,,85,1389
60040370,60040-370,Travessa Padre Roma,,Fátima,Fortaleza,CE,2304400,,85,1389
60015340,60015-340,Rua Juvenal Galeno,,Benfica,Fortaleza,CE,2304400,,85,1389
60831460,60831-460,Rua Valdizar Saldanha Fontenele,,Lagoa Redonda,Fortaleza,CE,2304400,,85,1389
60822160,60822-160,Rua Luís Girão,,Cambeba,Fortaleza,CE,2304400,,85,1389
60864575,60864-575,Rua Jacarandá,,Cajazeiras,Fortaleza,CE,2304400,,85,1389
60135200,60135-200,Rua Assis Chateaubriand,,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
60110000,60110-000,Rua Dona Leopoldina,até 1419/1420,Centro,Fortaleza,CE,2304400,,85,1389
60181225,60181-225,Rua Pascoal de Castro Alves,,Vicente Pinzon,Fortaleza,CE,2304400,,85,1389
60870520,60870-520,Rua Recanto Verde,,Jangurussu,Fortaleza,CE,2304400,,85,1389
60150140,60150-140,Rua Eduardo Salgado,,Aldeota,Fortaleza,CE,2304400,,85,1389
60830055,60830-055,Avenida Engenheiro Leal Lima Verde,de 1401/1402 ao fim,José de Alencar,Fortaleza,CE,2304400,,85,1389
60055364,60055-364,Avenida Visconde do Rio Branco,de 2532 a 3698 - lado par,Fátima,Fortaleza,CE,2304400,,85,1389
60767610,60767-610,Rua São José do Aracape,,Aracapé,Fortaleza,CE,2304400,,85,1389
60176104,60176-104,Rua Cineasta Euselio Oliveira,,Papicu,Fortaleza,CE,2304400,,85,1389
60878045,60878-045,Rua 3,(Lot Bairro Novo),Pedras,Fortaleza,CE,2304400,,85,1389
60750090,60750-090,Avenida J,(Cj Prefeito José Walter),Prefeito José Walter,Fortaleza,CE,2304400,,85,1389
60743760,60743-760,Avenida Heróis do Acre,,Passaré,Fortaleza,CE,2304400,,85,1389
60871015,60871-015,Rua Santa Efigênia,até 699/700,Messejana,Fortaleza,CE,2304400,,85,1389
60040430,60040-430,Rua Deputado João Pontes,,Fátima,Fortaleza,CE,2304400,,85,1389
60833331,60833-331,Rua Firmo Ananias Cardoso,de 301/302 ao fim,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60821450,60821-450,Rua Stênio Gomes,,Jardim das Oliveiras,Fortaleza,CE,2304400,,85,1389
60170020,60170-020,Rua Barbosa de Freitas,até 899/900,Meireles,Fortaleza,CE,2304400,,85,1389
60450180,60450-180,Travessa Érico Mota,,Parquelândia,Fortaleza,CE,2304400,,85,1389
60840455,60840-455,Rua Professor Paulo Maria de Aragão,,Messejana,Fortaleza,CE,2304400,,85,1389
60842220,60842-220,Rua Coronel Alves Ribeiro,,Messejana,Fortaleza,CE,2304400,,85,1389
60120065,60120-065,Avenida Visconde do Rio Branco,de 3701 ao fim - lado ímpar,Tauape,Fortaleza,CE,2304400,,85,1389
60025131,60025-131,Rua Floriano Peixoto,de 1460/1461 a 2388/2389,José Bonifácio,Fortaleza,CE,2304400,,85,1389
60135130,60135-130,Rua Joaquim Torres,,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60714330,60714-330,Rua Pedro Aguiar,até 998/999,Itaperi,Fortaleza,CE,2304400,,85,1389
60813680,60813-680,Rua Ricardo Castro Macedo,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60871170,60871-170,Rua José Hipólito,,Messejana,Fortaleza,CE,2304400,,85,1389
60821800,60821-800,Rua Lídia Brigido,,Parque Manibura,Fortaleza,CE,2304400,,85,1389
60410366,60410-366,Rua Tertuliano Sales,até 449/450,Parreão,Fortaleza,CE,2304400,,85,1389
60875843,60875-843,Rua Antônio Gonçalves Videira,,São Bento,Fortaleza,CE,2304400,,85,1389
60813540,60813-540,Rua Vicente de Castro Filho,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60714320,60714-320,Rua Caramuru,de 300/301 ao fim,Itaperi,Fortaleza,CE,2304400,,85,1389
60714285,60714-285,Rua Duarte Pimentel,de 400/401 ao fim,Itaperi,Fortaleza,CE,2304400,,85,1389
60834375,60834-375,Rua Professor Solon Farias,até 183/184,Edson Queiroz,Fortaleza,CE,2304400,,85,1389
60025902,60025-902,Rua Senador Pompeu,1520,Centro,Fortaleza,CE,2304400,,85,1389
60135080,60135-080,Rua João Brígido,,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60190560,60190-560,Avenida das Adenanteras,,Cidade 2000,Fortaleza,CE,2304400,,85,1389
60125120,60125-120,Rua Joaquim Nabuco,até 789/790,Meireles,Fortaleza,CE,2304400,,85,1389
60714030,60714-030,Rua Doutor Manuel Teófilo,,Itaperi,Fortaleza,CE,2304400,,85,1389
60150162,60150-162,Avenida Santos Dumont,de 2400 a 4998 - lado par,Aldeota,Fortaleza,CE,2304400,,85,1389
60192022,60192-022,Avenida Santos Dumont,de 5782 a 6870 - lado par,Cocó,Fortaleza,CE,2304400,,85,1389
60170002,60170-002,Avenida Desembargador Moreira,de 902 a 2120 - lado par,Aldeota,Fortaleza,CE,2304400,,85,1389
60740110,60740-110,Rua Samuel Gurgel,,Parangaba,Fortaleza,CE,2304400,,85,1389
60325001,60325-001,Avenida Bezerra de Menezes,de 552 a 2180 - lado par,São Gerardo,Fortaleza,CE,2304400,,85,1389
60355633,60355-633,Rua Braz de Francesco,,Presidente Kennedy,Fortaleza,CE,2304400,,85,1389
60020060,60020-060,Rua Marechal Deodoro,até 863/864,Benfica,Fortaleza,CE,2304400,,85,1389
60325505,60325-505,Rua Padre Anchieta,de 321/322 a 938/939,Monte Castelo,Fortaleza,CE,2304400,,85,1389
60310400,60310-400,Rua Padre Constantino,,Jacarecanga,Fortaleza,CE,2304400,,85,1389
60165085,60165-085,Avenida da Abolição,de 3401 ao fim - lado ímpar,Mucuripe,Fortaleza,CE,2304400,,85,1389
60360760,60360-760,Rua Professor Joaquim Nogueira,,Antônio Bezerra,Fortaleza,CE,2304400,,85,1389
60115082,60115-082,Rua Barão de Aracati,de 2101/2102 ao fim,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60181255,60181-255,Rua Oliveira Viana,,Vicente Pinzon,Fortaleza,CE,2304400,,85,1389
60865150,60865-150,Rua Francisco Lima e Silva,,Jangurussu,Fortaleza,CE,2304400,,85,1389
60831222,60831-222,Rua A,(Lot Laguna Park),Lagoa Redonda,Fortaleza,CE,2304400,,85,1389
60165170,60165-170,Rua Senador Machado,,Mucuripe,Fortaleza,CE,2304400,,85,1389
