index,cep,logradouro,complemento,bairro,localidade,uf,ibge,gia,ddd,siafi
60743780,60743-780,Rua das Carnaúbas,,Passaré,Fortaleza,CE,2304400,,85,1389
60020180,60020-180,Avenida da Universidade,até 2799/2800,Benfica,Fortaleza,CE,2304400,,85,1389
60874765,60874-765,Rua Jorge Figueiredo,,Pedras,Fortaleza,CE,2304400,,85,1389
60125071,60125-071,Rua Nunes Valente,de 2051/2052 a 3188/3189,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
60050100,60050-100,Rua Conselheiro Tristão,até 228/229,Centro,Fortaleza,CE,2304400,,85,1389
60175214,60175-214,Rua Manuel Jesuíno,de 501/502 ao fim,Varjota,Fortaleza,CE,2304400,,85,1389
60337252,60337-252,Avenida Francisco Sá,de 4998 a 5358 - lado par,Cristo Redentor,Fortaleza,CE,2304400,,85,1389
60175070,60175-070,Rua Frei Mansueto,até 1330 - lado par,Meireles,Fortaleza,CE,2304400,,85,1389
60182130,60182-130,Rua Visconde de Cairu,,Vicente Pinzon,Fortaleza,CE,2304400,,85,1389
60115280,60115-280,Rua Doutor José Lourenço,até 769/770,Meireles,Fortaleza,CE,2304400,,85,1389
60115125,60115-125,Rua Ildefonso Albano,de 891/892 a 2139/2140,Aldeota,Fortaleza,CE,2304400,,85,1389
60177415,60177-415,Avenida Santos Dumont,de 7703 a 7855 - lado ímpar,De Lourdes,Fortaleza,CE,2304400,,85,1389
60833045,60833-045,Rua Coronel Olegário Memória,,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60181485,60181-485,Rua Coronel José Aurélio Câmara,,Vicente Pinzon,Fortaleza,CE,2304400,,85,1389
60125000,60125-000,Rua José Vilar,até 689/690,Meireles,Fortaleza,CE,2304400,,85,1389
60844070,60844-070,Avenida Odilon Guimarães,até 2499/2500,Curió,Fortaleza,CE,2304400,,85,1389
60060090,60060-090,Avenida Dom Manuel,até 1023/1024,Centro,Fortaleza,CE,2304400,,85,1389
60125025,60125-025,Rua José Vilar,de 691/692 a 2049/2050,Aldeota,Fortaleza,CE,2304400,,85,1389
60150900,60150-900,Avenida Santos Dumont,3665,Aldeota,Fortaleza,CE,2304400,,85,1389
60192095,60192-095,Rua Doutor Gilberto Studart,de 921/922 a 1829/1830,Cocó,Fortaleza,CE,2304400,,85,1389
60840170,60840-170,Rua 1,(Cj Res Morada da Lagoa),Messejana,Fortaleza,CE,2304400,,85,1389
60833201,60833-201,Avenida Presidente Artur Bernardes,de 2100/2101 a 3439/3440,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60720360,60720-360,Rua Cândido Holanda,,Parangaba,Fortaleza,CE,2304400,,85,1389
60192450,60192-450,Rua Jornalista Nertan Macêdo,,Cocó,Fortaleza,CE,2304400,,85,1389
60874680,60874-680,Rua Delfino José,,Pedras,Fortaleza,CE,2304400,,85,1389
60175130,60175-130,Rua Comandante Prata,,Mucuripe,Fortaleza,CE,2304400,,85,1389
60863010,60863-010,Rua São Bento,,Barroso,Fortaleza,CE,2304400,,85,1389
60420312,60420-312,Rua Almirante Rufino,de 1370/1371 ao fim,Montese,Fortaleza,CE,2304400,,85,1389
60115046,60115-046,Rua Monsenhor Bruno,de 2101/2102 ao fim,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60813725,60813-725,Rua Célio Brasil Girão,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60871130,60871-130,Rua Penápolis,,Messejana,Fortaleza,CE,2304400,,85,1389
60110261,60110-261,Rua Gonçalves Ledo,de 37/38 a 1699/1700,Centro,Fortaleza,CE,2304400,,85,1389
60160110,60160-110,Rua Ana Bilhar,até 1298/1299,Meireles,Fortaleza,CE,2304400,,85,1389
60871120,60871-120,Rua Miracema,,Messejana,Fortaleza,CE,2304400,,85,1389
60312250,60312-250,Rua Amadeu de Castro,,Barra do Ceará,Fortaleza,CE,2304400,,85,1389
60125150,60125-150,Rua Osvaldo Cruz,até 829/830,Meireles,Fortaleza,CE,2304400,,85,1389
60177130,60177-130,Rua Comendador Francisco de Francesco Di Ângelo,,De Lourdes,Fortaleza,CE,2304400,,85,1389
60170320,60170-320,Rua Coronel Jucá,até 429/430,Meireles,Fortaleza,CE,2304400,,85,1389
60192460,60192-460,Rua Deusdedit Costa Sousa,,Cocó,Fortaleza,CE,2304400,,85,1389
60864465,60864-465,Rua B,(Lot Cajazeiras II),Cajazeiras,Fortaleza,CE,2304400,,85,1389
60165121,60165-121,Avenida Beira Mar,de 3500/3501 ao fim,Mucuripe,Fortaleza,CE,2304400,,85,1389
60175355,60175-355,Rua Carlos Barbosa,,Papicu,Fortaleza,CE,2304400,,85,1389
60135430,60135-430,Rua Professor Francisco Gonçalves,até 1188/1189,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
60192440,60192-440,Rua Magistrado Pompeu,,Cocó,Fortaleza,CE,2304400,,85,1389
60720000,60720-000,Avenida General Osório de Paiva,até 1672 - lado par,Parangaba,Fortaleza,CE,2304400,,85,1389
60192260,60192-260,Rua César Fonseca,de 271/272 ao fim,Cocó,Fortaleza,CE,2304400,,85,1389
60822155,60822-155,Rua Amâncio Valente,,Cambeba,Fortaleza,CE,2304400,,85,1389
60125001,60125-001,Rua José Vilar,de 2051/2052 a 3249/3250,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
60455305,60455-305,Rua Dom Manuel de Medeiros,de 950/951 a 2719/2720,Parquelândia,Fortaleza,CE,2304400,,85,1389
60355337,60355-337,Rua Coronel Luiz David de Souza,,Presidente Kennedy,Fortaleza,CE,2304400,,85,1389
60325690,60325-690,Rua Henrique Autran,,Monte Castelo,Fortaleza,CE,2304400,,85,1389
60850710,60850-710,Rua Tenente João Albano,,Aerolândia,Fortaleza,CE,2304400,,85,1389
60170240,60170-240,Rua Coronel Linhares,até 759/760,Meireles,Fortaleza,CE,2304400,,85,1389
60175395,60175-395,Avenida Engenheiro Alberto Sá,lado par,Papicu,Fortaleza,CE,2304400,,85,1389
60355631,60355-631,Rua José Adail dos Santos,,Presidente Kennedy,Fortaleza,CE,2304400,,85,1389
60355000,60355-000,Avenida Doutor Theberge,de 1801/1802 ao fim,Presidente Kennedy,Fortaleza,CE,2304400,,85,1389
60135100,60135-100,Avenida Antônio Sales,até 1690 - lado par,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60175415,60175-415,Rua Fausto Cabral,,Papicu,Fortaleza,CE,2304400,,85,1389
60874760,60874-760,Rua Luís Monteiro,,Pedras,Fortaleza,CE,2304400,,85,1389
60191335,60191-335,Rua Zuca Accioly,,Manuel Dias Branco,Fortaleza,CE,2304400,,85,1389
60840285,60840-285,Avenida Frei Cirilo,,Messejana,Fortaleza,CE,2304400,,85,1389
60160130,60160-130,Rua Tavares Coutinho,,Varjota,Fortaleza,CE,2304400,,85,1389
60140140,60140-140,Rua João Carvalho,,Aldeota,Fortaleza,CE,2304400,,85,1389
60325002,60325-002,Avenida Bezerra de Menezes,de 2182 ao fim - lado par,Presidente Kennedy,Fortaleza,CE,2304400,,85,1389
60020061,60020-061,Rua Marechal Deodoro,de 865/866 ao fim,Benfica,Fortaleza,CE,2304400,,85,1389
60533641,60533-641,Avenida F,(Cj Ceará) - até 499 - lado ímpar,Conjunto Ceará I,Fortaleza,CE,2304400,,85,1389
60175100,60175-100,Rua Pedro Rufino,,Varjota,Fortaleza,CE,2304400,,85,1389
60811150,60811-150,Rua Caio Cid,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60325640,60325-640,Rua Soares Bulcão,até 499/500,São Gerardo,Fortaleza,CE,2304400,,85,1389
60821535,60821-535,Rua Carvalho Pereira,de 100/101 ao fim,Parque Manibura,Fortaleza,CE,2304400,,85,1389
60824020,60824-020,Rua 3,(Lot Cidade Sul),Parque Iracema,Fortaleza,CE,2304400,,85,1389
60150190,60150-190,Rua Marcos Macêdo,,Aldeota,Fortaleza,CE,2304400,,85,1389
60356060,60356-060,Rua Ouro Branco,,Presidente Kennedy,Fortaleza,CE,2304400,,85,1389
60355641,60355-641,Rua Libaneses,,Presidente Kennedy,Fortaleza,CE,2304400,,85,1389
60841585,60841-585,Rua Frederico Severo,,Messejana,Fortaleza,CE,2304400,,85,1389
60831667,60831-667,Rua Vitor Hugo,,Lagoa Redonda,Fortaleza,CE,2304400,,85,1389
60711180,60711-180,Rua Carlos Studart,,Maraponga,Fortaleza,CE,2304400,,85,1389
60175310,60175-310,Rua Doutor Alísio Mamede,de 150/151 ao fim,Varjota,Fortaleza,CE,2304400,,85,1389
60320000,60320-000,Rua Olavo Bilac,,São Gerardo,Fortaleza,CE,2304400,,85,1389
60835675,60835-675,Rua São Bartolomeu,,Sabiaguaba,Fortaleza,CE,2304400,,85,1389
60752370,60752-370,Rua 7,(Cj Arvoredo),Mondubim,Fortaleza,CE,2304400,,85,1389
60864330,60864-330,Rua Francisco Nogueira,,Cajazeiras,Fortaleza,CE,2304400,,85,1389
60140190,60140-190,Rua Afonso Celso,,Aldeota,Fortaleza,CE,2304400,,85,1389
60865410,60865-410,Rua Itaquera,,Jangurussu,Fortaleza,CE,2304400,,85,1389
60176100,60176-100,Rua José Rangel,,Papicu,Fortaleza,CE,2304400,,85,1389
60710610,60710-610,Avenida Bibio Frota,,Parangaba,Fortaleza,CE,2304400,,85,1389
60834225,60834-225,Rua Juraci Magalhães,,Edson Queiroz,Fortaleza,CE,2304400,,85,1389
60310210,60310-210,Rua Jacinto Matos,,Jacarecanga,Fortaleza,CE,2304400,,85,1389
60115191,60115-191,Rua Monsenhor Bruno,de 821/822 a 2099/2100,Aldeota,Fortaleza,CE,2304400,,85,1389
60010260,60010-260,Rua Conselheiro Estelita,,Centro,Fortaleza,CE,2304400,,85,1389
60824000,60824-000,Rua Consuelo Freire,,Parque Iracema,Fortaleza,CE,2304400,,85,1389
60192165,60192-165,Avenida Antônio Sales,de 3409/3410 ao fim,Cocó,Fortaleza,CE,2304400,,85,1389
60741575,60741-575,Avenida Doutor Silas Munguba,de 3343 a 4995 - lado ímpar,Serrinha,Fortaleza,CE,2304400,,85,1389
60410680,60410-680,Rua Vicente Padilha,,Vila União,Fortaleza,CE,2304400,,85,1389
60821716,60821-716,Rua Vereador Pedro Paulo,de 500 ao fim - lado par,Parque Manibura,Fortaleza,CE,2304400,,85,1389
60192160,60192-160,Rua Henriqueta Galeno,de 801/802 ao fim,Cocó,Fortaleza,CE,2304400,,85,1389
60055363,60055-363,Rodovia BR-116,lado ímpar,Fátima,Fortaleza,CE,2304400,,85,1389
60175175,60175-175,Rua Raimundo Oliveira Filho,,Papicu,Fortaleza,CE,2304400,,85,1389
60192105,60192-105,Rua Doutor Gilberto Studart,até 919/920,Cocó,Fortaleza,CE,2304400,,85,1389
60813810,60813-810,Rua Geraldo Neves da Silveira,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60835175,60835-175,Avenida Litorânea,,Sabiaguaba,Fortaleza,CE,2304400,,85,1389
60150150,60150-150,Rua Desembargador Leite Albuquerque,,Aldeota,Fortaleza,CE,2304400,,85,1389
60192060,60192-060,Rua Bento Albuquerque,até 889/890,Cocó,Fortaleza,CE,2304400,,85,1389
60192330,60192-330,Rua Aluysio Soriano Aderaldo,,Cocó,Fortaleza,CE,2304400,,85,1389
60540272,60540-272,Rua C,(Cj Palmares),Granja Lisboa,Fortaleza,CE,2304400,,85,1389
60177250,60177-250,Avenida Engenheiro Luiz Vieira,lado par,De Lourdes,Fortaleza,CE,2304400,,85,1389
60175220,60175-220,Rua General Dutra,,Varjota,Fortaleza,CE,2304400,,85,1389
60170150,60170-150,Rua Vicente Leite,até 879/880,Meireles,Fortaleza,CE,2304400,,85,1389
60181245,60181-245,Rua Professor Heráclito,,Vicente Pinzon,Fortaleza,CE,2304400,,85,1389
60749020,60749-020,Rua 08H,(Cidade Jardim Fortaleza),Prefeito José Walter,Fortaleza,CE,2304400,,85,1389
60441750,60441-750,Rua Monsenhor Furtado,de 2001/2002 ao fim,Bela Vista,Fortaleza,CE,2304400,,85,1389
60874401,60874-401,Rodovia Quarto Anel Viário,lado par,Pedras,Fortaleza,CE,2304400,,85,1389
60811030,60811-030,Rua Mariana Furtado Leite,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60120230,60120-230,Avenida Sabino Monte,,Tauape,Fortaleza,CE,2304400,,85,1389
60115222,60115-222,Avenida Rui Barbosa,de 2101/2102 ao fim,Joaquim Távora,Fortaleza,CE,2304400,,85,1389
60820015,60820-015,Avenida José Leon,até 1919 - lado ímpar,Jardim das Oliveiras,Fortaleza,CE,2304400,,85,1389
60411200,60411-200,Rua General Silva Júnior,,Fátima,Fortaleza,CE,2304400,,85,1389
60833075,60833-075,Rua Marcelino Lopes,,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60410545,60410-545,Avenida dos Expedicionários,de 4887 ao fim - lado ímpar,Vila União,Fortaleza,CE,2304400,,85,1389
60410642,60410-642,Rua São Mateus,de 981/982 ao fim,Vila União,Fortaleza,CE,2304400,,85,1389
60862515,60862-515,Avenida Presidente Costa e Silva,de 4109 a 5781 - lado ímpar,Passaré,Fortaleza,CE,2304400,,85,1389
60333630,60333-630,Rua Eneide Menezes,,Barra do Ceará,Fortaleza,CE,2304400,,85,1389
60336035,60336-035,Rua Dona Mendinha,de 1109/1110 ao fim,Álvaro Weyne,Fortaleza,CE,2304400,,85,1389
60763430,60763-430,Avenida Contorno Sul,,Conjunto Esperança,Fortaleza,CE,2304400,,85,1389
60353060,60353-060,Rua XV,(Cj Cidade Oeste),Quintino Cunha,Fortaleza,CE,2304400,,85,1389
60711540,60711-540,Rua Antônio Divino,,Mondubim,Fortaleza,CE,2304400,,85,1389
60165068,60165-068,Avenida Monsenhor Tabosa,de 748 ao fim - lado par,Meireles,Fortaleza,CE,2304400,,85,1389
60140110,60140-110,Rua Catão Mamede,,Aldeota,Fortaleza,CE,2304400,,85,1389
60831490,60831-490,Rua Luiza Guimarães,,Lagoa Redonda,Fortaleza,CE,2304400,,85,1389
60762000,60762-000,Rua Margarida,,Mondubim,Fortaleza,CE,2304400,,85,1389
60811595,60811-595,Rua Governador Manoel de Castro Filho,,Edson Queiroz,Fortaleza,CE,2304400,,85,1389
60050101,60050-101,Rua Conselheiro Tristão,de 230/231 a 989/990,José Bonifácio,Fortaleza,CE,2304400,,85,1389
60175045,60175-045,Rua Pereira de Miranda,até 99997/99998,Papicu,Fortaleza,CE,2304400,,85,1389
60337385,60337-385,Rua Dona Mendinha,até 1107/1108,Cristo Redentor,Fortaleza,CE,2304400,,85,1389
60191355,60191-355,Rua Bento Albuquerque,de 2501/2502 ao fim,Manuel Dias Branco,Fortaleza,CE,2304400,,85,1389
60020181,60020-181,Avenida da Universidade,de 2801/2802 ao fim,Benfica,Fortaleza,CE,2304400,,85,1389
60192120,60192-120,Avenida Padre Antônio Tomás,de 2496/2497 ao fim,Cocó,Fortaleza,CE,2304400,,85,1389
60863220,60863-220,Rua Geraldo Soares,,Barroso,Fortaleza,CE,2304400,,85,1389
60711446,60711-446,Rua Itacira,,Mondubim,Fortaleza,CE,2304400,,85,1389
60455365,60455-365,Rua Padre Guerra,de 916/917 a 2609/2610,Parquelândia,Fortaleza,CE,2304400,,85,1389
60865400,60865-400,Rua Irmãos Fontenele,,Jangurussu,Fortaleza,CE,2304400,,85,1389
60810165,60810-165,Rua Firmino Rocha Aguiar,,Guararapes,Fortaleza,CE,2304400,,85,1389
60442056,60442-056,Rua Oscar Bezerra,,Couto Fernandes,Fortaleza,CE,2304400,,85,1389
60181822,60181-822,Rua Oliveira Filho,de 1701/1702 a 2499/2500,Praia do Futuro I,Fortaleza,CE,2304400,,85,1389
60813550,60813-550,Rua Marcelo Gentil Porto,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60115220,60115-220,Avenida Rui Barbosa,até 789/790,Meireles,Fortaleza,CE,2304400,,85,1389
60025001,60025-001,Rua Senador Pompeu,de 1821 a 2723 - lado ímpar,José Bonifácio,Fortaleza,CE,2304400,,85,1389
60810130,60810-130,Rua Cláudio Manuel Dias Leite,,Guararapes,Fortaleza,CE,2304400,,85,1389
60192072,60192-072,Rua Andrade Furtado,de 951/952 a 1939/1940,Cocó,Fortaleza,CE,2304400,,85,1389
60763806,60763-806,Rua Alfredo Mamede,até 874/875,Novo Mondubim,Fortaleza,CE,2304400,,85,1389
60175205,60175-205,Rua Riachuelo,,Papicu,Fortaleza,CE,2304400,,85,1389
60182453,60182-453,Avenida Santos Dumont,de 7857 ao fim - lado ímpar,Praia do Futuro I,Fortaleza,CE,2304400,,85,1389
60165082,60165-082,Avenida da Abolição,de 3400 ao fim - lado par,Mucuripe,Fortaleza,CE,2304400,,85,1389
60544445,60544-445,Rua Santa Rita dos Milagres,,Siqueira,Fortaleza,CE,2304400,,85,1389
60055370,60055-370,Rua Sousa Girão,até 288/289,José Bonifácio,Fortaleza,CE,2304400,,85,1389
60125160,60125-160,Rua Visconde de Mauá,até 789/790,Meireles,Fortaleza,CE,2304400,,85,1389
60175340,60175-340,Rua Meruoca,de 100/101 ao fim,Varjota,Fortaleza,CE,2304400,,85,1389
60833695,60833-695,Rua Antônio Gentil,,Sapiranga-Coité,Fortaleza,CE,2304400,,85,1389
60135205,60135-205,Rua Pinho Pessoa,de 1350/1351 ao fim,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
60743675,60743-675,Rua 1 do Loteamento Santiago de Compostela,,Passaré,Fortaleza,CE,2304400,,85,1389
60160060,60160-060,Rua Deputado Moreira da Rocha,,Meireles,Fortaleza,CE,2304400,,85,1389
60183706,60183-706,Avenida Dioguinho,de 4952 a 5730 - lado par,Praia do Futuro II,Fortaleza,CE,2304400,,85,1389
60170288,60170-288,Rua Coronel Jucá,de 431/432 a 1689/1690,Aldeota,Fortaleza,CE,2304400,,85,1389
60356530,60356-530,Rua Alcântara Bilhar,de 151/152 ao fim,Padre Andrade,Fortaleza,CE,2304400,,85,1389
60010670,60010-670,Rua Oscar Pedreira,,Jacarecanga,Fortaleza,CE,2304400,,85,1389
60165080,60165-080,Avenida da Abolição,até 2690 - lado par,Meireles,Fortaleza,CE,2304400,,85,1389
